Engines,Isp,Thrust_N_,Propellant,ThrottleRange,CostPerEngine,DeltaV,Mdot,DryMass_kg_,Fuel_OxidizerRatio,x_Engines,Burn,WetMass,DryMass,MassFuel,Notes
RL10C-3,460.1,108000,LOX/LH2,NaN,14000000,8967.06623929237,234.731580091284,230.425,5.7,NaN,NaN,544600,74842.74,NaN,
RL10C-X,460.9,107300,LOX/LH2,10,14000000,8982.65774764149,232.805380776741,235.25,5.5,NaN,NaN,544600,74842.74,NaN,
Raptor,380,2530000,LOX/CH4,40,2000000,7405.9664658359,6657.8947368421,1630,3.8,NaN,NaN,544600,74842.74,NaN,
Merlin,348,981000,LOX/RP-1,64,1000000,6782.30613187077,2818.96551724138,1030,6,NaN,NaN,544600,74842.74,NaN,
BE-3U,445,765000,LOX/LH2,18,9000000,8672.77651920257,1719.10112359551,NaN,4.4,NaN,NaN,544600,74842.74,NaN,
BE-7,453,44500,LOX/LH2,20,9500000,8828.69160269385,98.233995584989,NaN,4.4,NaN,NaN,544600,74842.74,NaN,
Archimedes,367,890000,LOX/CH4,50,NaN,7152.60445516257,2425.06811989101,NaN,3,NaN,NaN,544600,74842.74,NaN,
ESA Vinci,457.2,180000,LOX/LH2,15,NaN,8910.54702152677,393.700787401575,550,6.1,NaN,NaN,544600,74842.74,NaN,
Roscosmos RD-0146D,470,68600,LOX/LH2,NaN,NaN,9160.01115511283,145.957446808511,NaN,2.6,NaN,NaN,544600,74842.74,NaN,
LE-5B-2,447,14000,LOX/LH2,3,30000000,8711.75529007539,31.3199105145414,290,5,NaN,NaN,544600,74842.74,NaN,
Prometheus Vacuum,346,980000,LOX/CH4,30,1104020,6743.32736099795,2832.36994219653,700,3.5,NaN,NaN,544600,74842.74,NaN,
BE-4,311,2450000,LOX/Ch4,NaN,NaN,6061.19887072359,7877.81350482315,NaN,2.75,NaN,NaN,544600,74842.74,NaN,
YF-215,363,2200000,LOX/CH4,NaN,NaN,7074.64691341693,6060.60606060606,200,2.6,NaN,NaN,544600,74842.74,NaN,Estimate mass
Rutherford Vacuum,343,25800,LOX/RP1,NaN,375000,6684.85920468872,75.2186588921283,354.395604395604,2.6,NaN,NaN,544600,74842.74,NaN,
RD-58MF,372,79460,LOX/RP1,61.7,NaN,7250.05138234462,213.602150537634,300,2.82,NaN,NaN,544600,74842.74,NaN,
YF-115,341.5,176500,LOX/RP1,100,NaN,6655.62512653411,516.837481698389,143,2.5,NaN,NaN,544600,74842.74,NaN,
RD-0124,359,294300,RP1/LOX,NaN,7000000,6996.68937167129,819.777158774373,1730,2.6,NaN,NaN,544600,74842.74,NaN,
Aestus,324,29600,N2O4/MMH,NaN,NaN,6314.56088139693,91.358024691358,NaN,1.9,NaN,NaN,544600,74842.74,NaN,
YF-50,300,1000000,LOX/RP-1,NaN,NaN,5846.81563092308,3333.33333333333,NaN,3,NaN,NaN,544600,74842.74,NaN,
S5.92,327,19610,N2O4/UDMH,75,NaN,6373.02903770616,59.9694189602446,75,2,NaN,NaN,544600,74842.74,NaN,
Zefiro 9,295.2,314000,Proprietary,NaN,NaN,5753.26658082831,1063.68563685637,906,NaN,NaN,NaN,544600,74842.74,NaN,
Zefiro 23,287.5,1120000,HTPB (1912),NaN,12500000,5603.19831296795,3895.65217391304,1935,0.4705,NaN,NaN,544600,74842.74,NaN,
Orion 50XL,295,160100,HTPB /N2O,NaN,6000000,5749.36870374103,542.71186440678,529,2.5,NaN,NaN,544600,74842.74,NaN,
CASTOR 30XL,294.4,513769.595,QDL/HTPB,NaN,NaN,5737.67507247918,1745.14128736413,26406.787,NaN,NaN,NaN,544600,74842.74,NaN,
Leros 4,321,1000,MON-3/MMH,90,NaN,6256.0927250877,3.11526479750779,8.41,1.65,NaN,NaN,544600,74842.74,NaN,
